Company,Year,Report Date,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Receivables,Inventory,Cash & Bank,No. of Equity Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,Revenue,Net_Income,Net Profit,Cost_of_Revenue,Share_Capital,Retained_Earnings,Total_Debt,Long_Term_Debt,Cash_and_Equivalents,Cash and Bank,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Net_Cash_Change,Profit_Margin,Operating_Margin,gross_margin,ROE,ROA,Debt_Equity_Ratio,Debt_to_Equity,Debt_Ratio,Equity_Ratio,Interest_Coverage_Ratio,Interest_Coverage,Asset_Utilization_Ratio,Asset_Utilization,Expense_Ratio,Depreciation_Ratio,Operating_CF_Ratio,effective_tax_rate,inventory_turnover,receivables_turnover,dio,dso,Revenue_Growth,Profit_Growth,Operating_CF_Growth,Revenue_Volatility,Total Liabilities,Total Assets,Expenses,Operating Profit,Working_Capital_Ratio,Receivable_Ratio,Inventory_Ratio,Cash_to_Debt,Cash_Margin,Borrowing_Growth,Asset_Growth,Reserve_Growth,Receivable_Growth,Inventory_Growth,Cash_Growth,Revenue_CAGR_3Y,Profit_CAGR_3Y,Profit_Volatility,Operating_CF_Volatility,Prediction,Decision Score,Anomaly Score
ADANI ENTERPRISES LTD,2017,2017-03-31,36532.86,30945.16,-36.38,7.42,1910.37,511.48,1004.69,215.13,749.41,315.46,1257.31,1078.87,271.15,987.74,43.99,109.98,14025.99,20845.72,12629.78,47611.47,13667.98,7731.49,1041.75,25170.25,12741.75,1651.9,1715.09,1099810083.0,1.0,774.07,-1459.77,715.82,30.12,36532.86,987.74,987.74,30945.16,109.98,14025.99,20845.72,20845.72,1715.09,1715.09,774.07,-1459.77,715.82,30.12,0.027037029129392,0.0,0.1529499743518575,0.0698742286521547,,1.4746579116961909,1.4746579116961909,,,0.0,0.0,,,0.0,,,0.2513277781382372,22.115660754282946,2.867177585496498,16.504141750741663,127.3028925192279,,,,,47611.47,63720.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.1444080459667954,-0.1444080459667954
ADANI ENTERPRISES LTD,2018,2018-03-31,35923.92,30771.08,772.74,2.91,2204.89,568.97,928.28,182.82,363.21,663.92,1250.17,486.83,112.11,757.25,43.99,109.98,14979.19,17636.69,23679.48,56405.34,10555.19,5525.87,1460.72,38863.56,12098.77,2342.56,1884.25,1099810083.0,1.0,2942.39,-7648.85,5119.57,413.11,35923.92,757.25,757.25,30771.08,109.98,14979.19,17636.69,17636.69,1884.25,1884.25,2942.39,-7648.85,5119.57,413.11,0.0210792697456179,0.0,0.1434375758547507,0.050185000235268,,1.1688310225148235,1.1688310225148235,,,0.0,0.0,,,0.0,,,0.2302857260234579,15.33532545591148,2.969220838151316,23.80125554226822,122.92787229233336,-0.0166682816510944,-0.2333508818110029,2.801193690493108,430.5856033357379,56405.34,72730.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.13310639671307095,-0.13310639671307095
ADANI ENTERPRISES LTD,2019,2019-03-31,40378.66,33821.4,499.99,5.74,2551.28,657.18,1230.62,643.09,504.22,389.77,1625.07,458.72,144.54,717.14,43.99,109.98,14645.96,11243.2,16537.04,42536.18,9020.11,5764.92,1511.35,26239.8,14307.03,2668.82,1709.28,1099810083.0,1.0,3235.92,2486.91,-6158.41,-435.58,40378.66,717.14,717.14,33821.4,109.98,14645.96,11243.2,11243.2,1709.28,1709.28,3235.92,2486.91,-6158.41,-435.58,0.0177603714437279,0.0,0.1623941953497218,0.0486000891844233,,0.761944003567377,0.761944003567377,,,0.0,0.0,,,0.0,,,0.315094175095919,15.129780202486492,2.8222950535505973,24.124606908698805,129.32737119062395,0.1240048413424816,-0.0529679762297787,0.0997590394203351,2415.425912449676,42536.18,61221.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.1380917022543912,-0.1380917022543912
ADANI ENTERPRISES LTD,2020,2020-03-31,43402.56,34350.2,-310.13,12.22,3115.25,683.28,1954.57,682.52,872.32,472.06,1572.32,1122.33,324.33,1138.17,109.98,109.98,16836.59,12419.3,17509.19,46875.06,10476.46,7346.73,1952.49,27099.38,13146.53,2562.37,3376.68,1099810083.0,1.0,2453.56,-1081.85,-220.9,1150.81,43402.56,1138.17,1138.17,34350.2,109.98,16836.59,12419.3,12419.3,3376.68,3376.68,2453.56,-1081.85,-220.9,1150.81,0.0262235683793767,0.0,0.2085674209078911,0.0671622635140916,,0.7328503644100252,0.7328503644100252,,,0.0,0.0,,,0.0,,,0.2889791772473337,16.93844370641242,3.3014460850125467,21.54861487433,110.55761342188111,0.0748885673769261,0.5870959645257552,-0.2417735914361295,3762.063616492068,46875.06,65960.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.13338096656965975,-0.13338096656965975
ADANI ENTERPRISES LTD,2021,2021-03-31,39537.13,29791.08,-456.74,13.4,4357.88,830.36,1306.48,275.54,494.31,537.14,1376.85,1085.97,339.65,922.64,109.98,109.98,17048.59,16227.06,18231.09,51616.72,10837.61,8825.46,5502.94,26450.71,11982.65,1757.04,1810.82,1099810083.0,1.0,4043.31,-8610.66,3108.81,-1458.54,39537.13,922.64,922.64,29791.08,109.98,17048.59,16227.06,16227.06,1810.82,1810.82,4043.31,-8610.66,3108.81,-1458.54,0.0233360388070656,0.0,0.2465037295322143,0.0537713807152927,,0.945711676439237,0.945711676439237,,,0.0,0.0,,,0.0,,,0.3127618626665561,22.502122888494284,3.299531405824254,16.22069179022352,110.6217687019771,-0.0890599540672255,-0.1893653847843468,0.6479360602553026,2032.8015576128907,51616.72,67167.23000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.126311548830369,-0.126311548830369
ADANI ENTERPRISES LTD,2022,2022-03-31,69420.18,57651.32,3933.82,58.98,7793.57,1182.1,2412.38,542.05,1012.11,1247.78,2525.88,952.05,476.68,776.56,109.98,109.98,22146.53,41604.03,37725.82,101586.36,30122.77,23544.42,4292.21,43626.96,13712.19,6788.28,3915.86,1099810083.0,1.0,1385.28,-17040.62,15901.42,246.08,69420.18,776.56,776.56,57651.32,109.98,22146.53,41604.03,41604.03,3915.86,3915.86,1385.28,-17040.62,15901.42,246.08,0.0111863726080802,0.0,0.1695308194245534,0.0348913643693463,,1.869297118011764,1.869297118011764,,,0.0,0.0,,,0.0,,,0.500687989076204,10.226475631529636,5.062661763000658,35.691670635253324,72.09646172049685,0.7558224383004026,-0.1583282753836816,-0.6573896139549034,16252.46020787726,101586.36,126002.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.06272084867769157,-0.06272084867769157
ADANI ENTERPRISES LTD,2023,2023-03-31,127539.5,93814.06,327.16,18.42,14377.83,1879.07,8135.29,824.3,834.23,2436.14,3968.9,3246.88,1037.94,2463.98,136.8,114.0,32937.01,53200.46,55027.01,141278.48,56881.13,24025.21,6310.17,54061.97,12552.88,6918.05,5373.69,1140001121.0,1.0,17626.46,-15458.84,-1197.52,970.1,127539.5,2463.98,2463.98,93814.06,114.0,32937.01,53200.46,53200.46,5373.69,5373.69,17626.46,-15458.84,-1197.52,970.1,0.0193193481235225,0.0,0.264431333038,0.0745508231064648,,1.6096470274282086,1.6096470274282086,,,0.0,0.0,,,0.0,,,0.3196730399645198,18.435758631406248,10.16017838137543,19.79848007872071,35.92456611481149,0.8372107361288894,2.1729422066549917,11.724113536613537,44749.80290493246,141278.48,166123.09999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.019936757533189242,-0.019936757533189242
ADANI ENTERPRISES LTD,2024,2024-03-31,96420.98,51507.72,1116.49,26.46,22793.04,2332.96,8272.86,1227.83,1146.39,3042.15,4554.7,4926.14,1631.51,3239.55,148.2,114.0,38962.09,65310.15,56200.0,160586.24,65978.3,35179.5,8700.69,50727.75,9792.93,9486.86,7068.48,1140001121.0,1.0,10312.19,-18766.65,8878.68,424.22,96420.98,3239.55,3239.55,51507.72,114.0,38962.09,65310.15,65310.15,7068.48,7068.48,10312.19,-18766.65,8878.68,424.22,0.0335979783652893,0.0,0.4658038115771069,0.0829036374929016,,1.6713583677384305,1.6713583677384305,,,0.0,0.0,,,0.0,,,0.331194403731928,10.163634753754138,9.845978680537897,35.91234915886564,37.07097200215141,-0.2439912340882628,0.3147631068433998,-0.4149596685891551,29083.961344392832,160586.24,186934.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.026669887841139384,-0.026669887841139384
ADANI ENTERPRISES LTD,2025,2025-03-31,97894.75,49524.73,-1844.54,2037.48,16964.51,3121.84,9245.98,903.64,6403.1,4211.33,5978.02,10465.78,2968.52,7111.96,150.05,115.42,50198.55,91472.6,56056.31,197842.88,77260.14,51515.81,9886.61,59180.32,9616.47,10287.39,6962.46,1154180729.0,1.0,4513.1,-26417.33,22655.34,751.11,97894.75,7111.96,7111.96,49524.73,115.42,50198.55,91472.6,91472.6,6962.46,6962.46,4513.1,-26417.33,22655.34,751.11,0.0726490439987844,0.0,0.4941022884271117,0.1413515967831598,,1.8180358258352505,1.8180358258352505,,,0.0,0.0,,,0.0,,,0.2836405886613324,9.515994824732028,10.179904892335754,38.35647315101167,35.854951874334425,0.0152847440463683,1.1953542930345264,-0.5623529046691342,17556.3164680874,197842.88,224709.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly,-0.0005098696739039843,0.0005098696739039843
ADANI ENTERPRISES LTD,2026,2026-03-31,100468.61,56933.41,2824.59,2142.7,15610.12,3661.56,9817.24,1137.39,11688.34,6135.34,6019.12,13524.66,3831.15,9339.47,168.01,129.24,80796.71,106621.79,73320.64,260868.38,115173.81,51753.42,9428.37,84512.78,12542.61,18712.98,11809.42,1292682416.0,1.0,2356.91,-27680.49,28484.47,3160.89,100468.61,9339.47,9339.47,56933.41,129.24,80796.71,106621.79,106621.79,11809.42,11809.42,2356.91,-27680.49,28484.47,3160.89,0.0929590844344318,0.0,0.433321412528749,0.1154076041121543,,1.3175228712174525,1.3175228712174525,,,0.0,0.0,,,0.0,,,0.2832714463801677,5.368926274703441,8.010183685851668,67.98379812361293,45.56699500470844,0.0262921147456836,0.3132062047593067,-0.4777625135716027,2048.579260911388,260868.38,303933.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anomaly,-0.019334179147837083,0.019334179147837083
